,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
33,BLCP11,Logística,"91,00","5,41%","2,76%","0,81",208.962.000,0,2,"3.014,16","199,89","6,63%","0,00%","Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 37640-000,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,24, Cabreuva/SP, Brasil, 13315-000"
34,BLMC11,Títulos e Val. Mob.,"81,70","12,22%","12,96%","0,83",32.639.200,3.466,0,"0,00","0,00","0,00%","0,00%",
35,BLMG11,Outros,"67,90","11,47%","13,67%","0,76",258.739.000,437.108,1,"322,95","41,41","12,82%","0,00%","Cidade de Jandira, Comarca de Barueri, Estado de São Paulo."
36,BLMO11,Lajes Corporativas,"20.999,00","2,11%","2,41%","0,63",79.733.200,0,1,"12.364,40","564,87","4,57%","0,00%","Av. das Nações Unidas, nº 12.901, São Paulo - SP"
37,BLMR11,Títulos e Val. Mob.,"6,81","12,72%","12,10%","0,88",173.938.000,456.757,0,"0,00","0,00","0,00%","0,00%",
38,BLUR11,Títulos e Val. Mob.,"100,50","5,12%","12,17%","1,05",9.045.000,2.756,0,"0,00","0,00","0,00%","0,00%",
39,BMLC11,Híbrido,"99,00","7,78%","9,24%","0,87",98.842.100,23.985,2,"12.291,70","1.282,66","10,44%","0,00%","Rua Joaquim Floriano, 466, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 04534-002,Rua Lauro Muller, 116, 21º, 27º, 28º E 40º Andares, Botafogo, Rio De Janeiro/RJ, Brasil, 22290-160"
40,BNFS11,Outros,"116,51","14,59%","14,94%","1,27",81.557.000,149.835,18,"7.487,67","1.312,01","17,52%","0,00%","Rua Baltazar Brum, 320 - Quarai-RS,Rua Jose Do Patrocinio, 165 - General Camara-RS,Rua Henrique Bier, 1125 - Sao Leopoldo-RS,Av. Assis Brasil, 657 - Arroio do Sal-RS,Rua Moreira Paz 591 - Vacaria-RS,Av. Tomaz Edison, 2615 - Sao Leopoldo-RS,Av. Flores da Cunha, 175 - Santa Rosa-RS,Av. Padre Claret 1104 - Esteio-RS,Av. Atlantica, 537 - Rio Grande,RS,Av. Cecilio Monza, 10827 - Porto Alegre-RS,Av do Forte, 1128 - Porto Alegre-RS,Rua Maranhao 280 - Santa Maria-RS,Av. Julio de Castillhos, 303 - Sao Gabriel-RS,Rua Odorico Mosmann, 257 - Parobe-RS,Av. Venancio Aires, 1745 - Cruz Alta-RS,Av. Joao Pereira de Vargas, 1460 - Sapucaia do Sul-RS,Rua Osvaldo Aranha, 2396 - Taquari-RS,Av. 20 de Setembro, 3755 - Sapiranga-RS"
41,BPFF11,Outros,"67,92","17,23%","11,52%","0,90",305.119.000,408.860,0,"0,00","0,00","0,00%","0,00%",
42,BPML11,Shoppings,"62,10","5,89%","3,03%","0,51",267.345.000,72.098,4,"3.513.420,00","704.763,40","20,06%","8,33%","Rua América Deolindo Garla, 224, Shopping, Lodrina, PR, 86079-225,Av. Severino Ballesteros, 850 - Cabral, Contagem - MG, 32110-005,Q. 107, Norte Avenida, NS 5, s/n, Shopping, Palmas, TO, 77001-098,Av. Maestro Paulo e Silva, 400, Shopping, Rio de Janeiro, RJ, 21920-445"
43,BPRP11,Outros,"92,00","11,58%","11,41%","0,84",124.185.000,423,1,"5.380,38","648,64","12,06%","0,00%","Avenida Pl Do Brasil, 3001, Fontes, Aruja/SP, Brasil, 07415-000"
